,Title,Department,Details,Amount,State,City,Date
532,AR and AR15 Handguard Rifle Case at AR15handguard.com,Others,"FAST shipping on AR15 and AR handguard rifle case, grips and stocks from AR15handguard.com also AR15 Handguard provide everything you need to build & ...","1,500", Jharkhand,Adityapur,"July  8, 2019"
533,Registrar not willing to do registration without bribe,Encumbrance Certificate,"I am due to register my property, with Sub Registrar Shivajinagar. The bank officials have already informed me of bribe amount amouting to 18-20k with...","20,000", Karnataka,Bangalore,"July  8, 2019"
534,"Buy Handcrafted Stemless Wine Glasses, Drinking/Dining Glasses & Wine Glasses",Others,Buy beautiful handcrafted stemless wine glasses from Oaxaca that are made from recycled glass while each glass is handcrafted in Mexico by Xaquixe Gla...,"1,200", Uttar Pradesh,Adari,"July  8, 2019"
535,Suspension Hoverkart / Hovercart Replacement Seat UK â Smaerboardsuk.com,Others,"Get online best and inexpensive Suspension Hoverkart / Hovercart Replacement Seat UK that allows you to reach the maximum speed, safely, from your hov...","1,200", Uttar Pradesh,Achhnera,"July  8, 2019"
536,Srivaikuntam Police station asked for 20000 Bribe for filing FIR for loss of Sale deed ,FIR and Complaints,Mr. Vivekanandan from Alwarthope wanted to make a FIR to get a duplicate copy of sale deed for a land. Since he lost the Sale deed and wanted to get t...,"20,000", Tamil Nadu,Tuticorin,"July  8, 2019"
537,Complain against Ram Bihari Mishra Lekhpal in Lalganj Tahsil,Caste Certificate,"Name: Ram Bihari Mishra
Date: 26/12/2018
Time: 2:40pm
Location: Lalganj Ajhara
Office: Opposite to lalganj tahsil
Designation: Lekhpaal...","2,00,000", Bihar,Lalganj,"July  7, 2019"
538,I was go to medical fitness certificate for my govt job. ,Health Services,There were many candidates arrived at civil surgeon office Darbhanga on that day to get medical fitness certificate for their govt job. The senior cle...,500, Bihar,Darbhanga,"July  7, 2019"
539,Rent agreement police verification,Registrations and Licenses,I was asked to pay 1200 rs for police verification of tenants on 6th of July 2019 around 6 pm at chikhali police station...,"1,200", Maharashtra,Pimpri-Chinchwad,"July  6, 2019"
540,Https://www.herbalsupplementreview.com/primo-boost-keto/,Service Tax,"Primo Boost Keto In the last few years, FDA has discovered a whole bunch of ""dietary dietary supplements"" containing medication or different chemical...","25,550", Telangana,Adilabad,"July  6, 2019"
541,Nothing can be done at own without the help of broker Rajkumar,"Caste, Community and Income","There is an guy called rajkumar(robinpettai) in ketti 1,2,3 panchayat ,the nilgiris  (his wife is an area president) no services can be done without h...","6,000", Tamil Nadu,Coimbatore,"July  6, 2019"
542,Misused the mv act for getting bribe,"Traffic Fines, Penalties, Rules",On 2 july 2019 at belha chauraha pratapgarh i was forced to give bribe of 2000 for tripling on bike although i have all required documents and helmet ...,"2,000", Tripura,Pratapgarh,"July  5, 2019"
543,Bribe for Passport Verification,Policies and Procedures,"On the day of passport verification, a constable came to our house and did the necessary proceedings. After completing everything he asks for money. O...",500, Andhra Pradesh,Srikakulam,"July  5, 2019"
544,Paid bribe of Rs.500 for Police clearance for passport,Verification and Certificates,"Reason for police clearance: Re-issue of passport 
Location: At my home in Bangalore
The officer after taking all documents, asking all questions, and...",500, Karnataka,Bangalore,"July  4, 2019"
545,Asked for Bribe on account of Usage of Plastic bags -- whereas we are not using plastic material,Others,"Date 3rd July 2019
Place 118/220 kaushal puri kanpur 208012
Name Naren Kumar Shukla (Kanpur Nagar Nigam)
We are using ONLY NONWOVEN FABRIC in our offi...","20,000", Uttar Pradesh,Kanpur,"July  3, 2019"
546,The Griswolds Boat Shoes at Froats.com,Others,"Tis the season, Cut loose in the Griswolds, whether you're impressing your latest boss at the company party after 8 Egg Nog Smashes or finally shoveli...","2,693", Delhi,New Delhi,"July  3, 2019"
547,Passion Fruit Orange Guava Cali Pods at Calivapepods.com,Others,Get online best and inexpensive Passion Fruit Orange Guava Cali Pods and 1 Pod contains: 1ml â 50mg (5%) Nicotine also 1 Pod is equivalent to 1 ciga...,"1,200", Delhi,New Delhi,"July  3, 2019"
548,Bribe for riding karnataka vehicle in Tamil Nadu,"Traffic Fines, Penalties, Rules","I had my helmet worn, license and insurance for my scooty. They caught me for no reason and when I showed them all my proof but for the sake of bribin...",150, Tamil Nadu,Chennai,"July  3, 2019"
549,Drifting Hoverkart Gokart Attachment Buggy UK,Others,Get online best and inexpensive SILI Drift instantly turns your hoverboard into a Gokart and this drifting attachment allows you to reach the maximum ...,12, Uttar Pradesh,Adari,"July  3, 2019"
550,Zenoah G320RC Engine LOSI Only,Others,This supercharger system can be used on any vehicle with zenoah g320rc engine and this system also includes custom parts like custom machined clutch h...,"1,200", Haryana,Fatehabad,"July  3, 2019"
551,Had to pay bribe for police verification of passport. ,Policies and Procedures,It has been over a month since my police verification was initiated. I got a call last night (1/07/19) to visit the DIB office for my verification and...,"1,300", West Bengal,Alipurduar,"July  2, 2019"
552,FIR for lost certificates,FIR and Complaints,I had lost my sister's  transfer and character certificate and to get new one from school I was told to get an FIR from police station and submit it t...,200, Uttar Pradesh,Varanasi,"July  2, 2019"
553,AR15 Lower Part Kit â Complete AR15 LPK,Others,"Buy online original, inexpensive and high quality custom AR15 Lower Part Kit and AR15 LPK online with us at AR15 Handguard (ar15handguard.com) with ov...","1,200", Delhi,New Delhi,"July  2, 2019"
554,Corrupt cops increased their bribe rates due to increase in fine rates,"Traffic Fines, Penalties, Rules","Yesterday, I was being caught by traffic police and the reason was bike silencer alteration. The lady traffic cop was so much corrupt that she started...","1,500", Karnataka,Bangalore,"July  2, 2019"
555,Powermatic 3 or Powermatic III Electric Cigarette Rolling Machine For Sale ,Others,Automatic Powermatic III or Powermatic 3 Electric Cigarette Rolling Machine is a great way to save hundreds of dollars a year instead of buying packag...,"1,230", Andhra Pradesh,Adoni,"July  2, 2019"
556,Paid for appeal decision,Assessment,"Rs. 50000 paid for appeal decision to MVAT Dy. Commissioner Appeal, Nashik - Mr. Chandrakant Jadhav. Even after getting the amount has not passed the ...","50,000", Maharashtra,Nashik,"July  1, 2019"
557,Paid to get rightful  justice at MVAT appeal,Sales Tax,"Paid to JC Appeal Mr. Vikas Doke  thru his assistant Mr. Sagar Sewale at Nashik Sales Tax Office situated at Kanda-batata Bhawan, Dwarka, Nashik.
The ...","1,50,000", Maharashtra,Nashik,"July  1, 2019"
558,BBMP Revenue Department - Scamming people to pay tax,Certificates,"Hi Everyone

Subject- To get a Tax Id (SAS No) number to pay Tax on a property. 

I applied with BBMP ARO office in Kengeri Satellite Town to get a re...","3,500", Karnataka,Bangalore,"July  1, 2019"
559,BBMP Revenue Department - Scamming people to pay bribe.,Certificates,"Hi Everyone

Subject- To get a Tax Id (SAS No) number to pay Tax on a property. 

I applied with BBMP ARO office in Kengeri Satellite Town to get a re...","3,500", Karnataka,Bangalore,"July  1, 2019"
560,Asked for bribe,Policies and Procedures,"Place: Nizamuddin railway station entry no 2(kale Khan). The police is bald, no name batch, was posted the the luggage scanner counter. Time around 17...",250, Delhi,New Delhi,"June 30, 2019"
561,Fake Income Certificate,Public Works,"PATWARI OF Adhoiwala, Dehradun
Pitamber...","5,000", Uttarakhand,Dehradun,"June 29, 2019"
562,Bribe to hand over certificate,Certificates,Guwahati office of Revenue department deals with numbers of applications per day to issue various certificates to public. If they charge Rs100 to 200 ...,200, Assam,Guwahati,"June 29, 2019"
563,Paid bribe every time,Timber Related,People at DFO office don't work until they are paid. Every time I have to get some work I have to pay them first or they will keep your work on hold.....,500, Uttarakhand,Nainital,"June 28, 2019"
564,Forced to pay a bribe or face false charges by the traffic police,"Traffic Fines, Penalties, Rules","About 2:00 pm, the traffic police turned off a U-Turn under a flyover and I took it as my usual path every day, is. Got caught by khaki-uniformed cons...",600, Haryana,Panchkula,"June 28, 2019"
565,RTO - KR PURAM,Entry Tax,"I don't know the name. I was afraid he would sabotage my chances of getting the license.
For taking the photo for the Driving Licence, he was asking e...",70, Karnataka,Bangalore,"June 25, 2019"
566,Akshay Academy Indore taking bribe of Rs. 200 for each paper,College Leaving Certificate,"Akshay Academy, Kila Maidan, Indore is an exam centre of National Institute of Open Schooling (NIOS), an autonomous institute under MHRD Govt. of Indi...",200, Madhya Pradesh,Indore,"June 25, 2019"
567,The Star Spangleds Boat Shoes at Froats.com,Others,"Salute your shorts with The Star Spangleds Boat Shoes patriotic pair, featuring bright white stars against a handsome navy blue backdrop, matte red la...","1,693", Haryana,Fatehabad,"June 25, 2019"
568,Mango Mint Cali Pods at Calivapepods.com,Others,Buy online best and inexpensive Mango Mint Cali Pods and 1 Pod contains 1ml (50mg) 5% Nicotine and 1 Pod is equivalent to 1 cigarette pack and each Pa...,"12,589", Bihar,Daudnagar,"June 25, 2019"
569,Air Filter Technology â Rbinnovations.com,Others,"The best performing air purifiers (air filter technology) feature more than one filter technology, and using HEPA style filtration is the key to best ...","1,200", Madhya Pradesh,Damoh,"June 25, 2019"
570,Asked bribe for providing passbook for the registered land,Land Registration,"Name of the officer: NALLAPPA
Date of incident; 2019-06-24
Time of incident; Afternoon around 2'o clock
Location: Guntakal municipal office
Incident t...","3,000", Andhra Pradesh,Guntakal,"June 24, 2019"
571,Bangalore traffic police constable demanded me 50rs bribe in public road ,Autorickshaws,"I dont know name of officer
he belongs to CV Raman nagar traffic police department
time: evening 6pm
he is traffic police constable...",50, Karnataka,Bangalore,"June 24, 2019"
572,For prossessing GST Refund 1% of refund amount to be given as bribe,Sales Tax,The deputy commissioner had asked for 1% commission for processing of GST refund and out of that 50% will be given to nizamabad commissioner and 50% f...,"4,00,000", Telangana,Sangareddy,"June 24, 2019"
573,AR15 Handguard Red Dot and Scope at AR15handguard.com,Others,Are you looking to buy best and inexpensive ar15 handguard red dot and ar15 handguard scope in USA then you have visited the exact place as we at ar15...,"1,23,666", Madhya Pradesh,East Nimar/Khandwa,"June 24, 2019"
574,Motion Sensor LED Night Light Round or Square at Hardworkingproducts.com,Others,"Get online best and inexpensive motion-activated LED Light as this is a great addition to any bedroom, bathroom, hallway, staircase, closet, cabinet, ...","1,589", Andhra Pradesh,Kadiri,"June 24, 2019"
575,Silikart Hoverkart Gokart Attachment Buggy For Sale UK,Others,"Get online best and inexpensive SILI KART instantly turns your hoverboard into a Gokart!  This attachment allows you to reach the maximum speed, safel...","1,369", Jharkhand,Pakaur,"June 24, 2019"
576,Police said for verification fees,Verification and Certificates,"I was asked to paid RS.300, when I asked for why he said for police verification fee.., after when I came from police station I check with my brother ...",300, Tamil Nadu,Vellore,"June 22, 2019"
577,Bill jyada nikal rahe hai,,à¤¯à¥ à¤à¥ à¤¬à¤¿à¤à¤²à¥ à¤à¤°à¥à¤®à¤à¤¾à¤°à¥ à¤¹à¥ à¤à¤ªà¤¨à¥ à¤®à¤¨à¤®à¤¾à¤¨à¥ à¤¸à¥ à¤¬à¤¿à¤à¤²à¥ à¤à¤¾ à¤¬à¤¿à¤² à¤¨à¤¿à¤à¤²à¤¤à...,500, Uttar Pradesh,Aligarh,"June 22, 2019"
578,BDA officers asking bribe,Property Registration,Property registration BDAcaae worker indirectly asking bribe.if you are not ready your files will be in there desk for long days.EAch day they will sa...,"7,000", Karnataka,Bangalore,"June 22, 2019"
579,Paid bribe for passport verification,Verification and Certificates,"The officer came to my home and asked for the original and xerox copy of my documents.
After that he openly asked for give me the police processing fe...","1,700", West Bengal,Medinipur,"June 22, 2019"
580,The Lone Star Boat Shoes at https://froats.com/products/the-lonestars,Others,"Find great, best and inexpensive deals on https://froats.com/products/the-lonestars for the Lone Stars Boat shoes in Baltimore, MD at best market pric...","1,20,000", Delhi,New Delhi,"June 21, 2019"
581,Fraud parcel booking ,Post and Parcel,"Arakkonam post office, and kaveripakkam postoffice fraud parcel booked by taking bribe from the company which consist fraud thing and cheating people ...","2,000", Tamil Nadu,Arakkonam,"June 20, 2019"
582,PAID BRIBE FOR GETTING AN ELECTRICITY CONNECTION,Commercial and Industrial,"Mr. Yogesh / Mr. Ram Phool / Mr. Kapil
18/09/2019  5.30P.M
Office of the Executive Engineer, Baghpat.

...","20,000", Uttar Pradesh,Baghpat,"June 19, 2019"
583,Bribe for Passport police verificaiton,Verification and Certificates,"I live in Delhi since last 10 years, in approx 2013 (I didn't remember exact data) I applied for passport, when police officer arrived at my home for ...","1,500", Delhi,New Delhi,"June 19, 2019"
584,Flyover under construction where police take bribe for helmets and papers,Autorickshaws,My way to kamshet through somatne phata to kamshet between there is fly over under construction at this point these police people take bribe for diffe...,700, Maharashtra,Pune,"June 19, 2019"
585,Replacement Rubber Grips for Hoverkart/Hovercart UK â Smartboardsuk.com,Others,Replacement Hoverkart Straps of Different Types Available at https://www.smartboardsuk.com/products/replacement-rubber-grips-for-hoverkart-hovercart  ...,500, Telangana,Adilabad,"June 19, 2019"
586,Supercharger System HPI Reed Kit â Rbinnovations.com,Others,"Get online best and affordable 1/5th Scale Supercharger Systems, 1/5th Scale Supercharger System, 1/5th Scale Supercharger System HPI Reed Kit and 1/5...","2,10,000", Kerala,Calicut,"June 19, 2019"
587,Income cerficate,College Leaving Certificate,Hi all.I went to taluk. Office in Ambattur on 31.5.19  for income cerficate ...out side one agent is there he said he will get that cerficate with in ...,"1,800", Tamil Nadu,Ambattur,"June 19, 2019"
588,Keto slim Reviews | keto slim UK,Visa,Keto slim Reviews is a fabulous weight reduction supplement amongst a few known awesome remedies which will give you an easier and faster weight loss ...,6, Uttar Pradesh,Achhnera,"June 18, 2019"
589,Blue Raspberry Mint Cali Pods at Calivapepods.com,Others,Buy online or wholesale best and affordable Blue Raspberry Mint Cali Pods at calivapepods.com combine two delicious dark berries for a refined and ent...,"1,200", Telangana,Adilabad,"June 18, 2019"
590,"AR15 LPK (Lower Parts Kit) 223/5.56 No Grip, No Trigger and No Hammer",Others,"If you are looking to buy online best, high quality & economical ar15 lpk, ar15 lower part kit or kits with No Grip, No Trigger and No Hammer and nume...","2,000", Delhi,New Delhi,"June 18, 2019"
591,Buy Flip Top Plastic King Size Cigarette Case - Assorted Colors,Others,"Buy online best and affordable Buy Flip Top Plastic King Size Cigarette Case - Assorted Colors with Plastic Flip Top (King Size) and about 3.5"" x 2.37...","1,500", West Bengal,Asansol,"June 18, 2019"
592,To replace existing water line with new connection,Water Connection,"In mugappair and Nolambur, agents play major role .The government staff redirects all query to those agents, namely Rajendran and Mani. These two will...","10,000", Tamil Nadu,Chennai,"June 17, 2019"
593,Had to pay bribe for passport verification,Verification and Certificates,I had to pay a bribe of Rs. 200 for simple passport verification at the police station Dum Dum Kolkata....,200, West Bengal,Kolkata,"June 16, 2019"
594,Ravinder ,FIR and Complaints,Io of my fir of filling against my lost scooty activa asked for 5000 rs and that officcer is totally courrupt not helping me to get my scoity rude wit...,"5,000", Gujarat,Gandhinagar,"June 16, 2019"
595,Marriage registration  bribe paid,Certificates,Today I went to registration office for marriage registration. The lady is taking bribe just for registration of a marriage certificate. The lady wore...,400, Karnataka,Bangalore,"June 15, 2019"
596,Bribe for settlement,FIR and Complaints,"Hi,
I am Arun from Bangalore, I am a small entrepreneur in software industry. I gave restaurant architecture design contract to one of the architect w...","20,000", Karnataka,Bangalore,"June 15, 2019"
597,Re connection of transformer,Transformers,"Repaired transformer to be re connection
Lineman : Rajendhar  
Village : Tallarampur
Mdl: Yergatla 
Dist : Nizamabad
State: Telangana
  India
Pin : 50...","2,000", Telangana,Nizamabad,"June 14, 2019"
598,Survey officers,Government Personnel,"For measurment scekch copy the survey officer took money to give details 
1.kari basama
2.chethan b k
location ajjampura tarikere tq...","2,000", Karnataka,Chikmagalur,"June 14, 2019"
599,Bribed for one signature,Pension Processing,"Hi today i went to have a sign on my passbook from zila siksha adhikari but he took 5000 for one sign.I don,t know why there is corruption everywhere....","5,000", Uttarakhand,Jaspur,"June 13, 2019"
600,Regarding GTU(Gujarat technological Uni.) innovation counsils.,College Leaving Certificate,I am a former student of GTU and currently in Germany. I had got emails from GTU innovation council regarding the startup and fund support providing. ...,"1,000", Gujarat,Ahmedabad,"June 13, 2019"
601,The Sharks and Minnows Boat Shoes at Froats.com,Others,"All The Sharks and Minnows Boat Shoes feature super soft, premium leather uppers with an anti-slip rubber sole and also our insoles are made from incr...","12,000", Delhi,New Delhi,"June 13, 2019"
602,The Rugged Camos & Bermuda Breeze Boat Shoes at Froats.com,Others,"Get or shop online best and affordable the rugged camos boat shoes, bermuda breeze boat shoes and many more at https://froats.com/collections/all...","1,200", Andhra Pradesh,Adoni,"June 13, 2019"
603,Bribe demanded to get certificate ,Certificates,"Mr. Karthikeyan, Tahsiladar, Ponneri, demanded bribe from me on 16 May 2019,  for registering a property worth 15 lakhs. I was informed to hand over t...","50,000", Tamil Nadu,Thiruvallur,"June 12, 2019"
604,Bribe for change in name in Noida authority,Building Construction Approval,Amit Kumar pandey works as a clerk in Group Housing department in Noida Authority. Very strange to hear He takes bribe of Rs. 4000 for every flat regi...,"2,00,000", Uttar Pradesh,Noida,"June 12, 2019"
605,Buy Super Soft & Soft Leather Boat Shoes at Froats.com,Others,"FROATS (froats.com) is combining unique & wild patterns with timeless & classic men's casual footwear like boat shoes, soft boat shoes and froats boat...","1,200", Delhi,New Delhi,"June 12, 2019"
606,Babu ask me bribe for legal work,Others,Today (12-06-2019) 1:00 pm  bring  all require document for cancel T permit in head office of rto  for some enquiry ..Babu comes to me ask me concern ...,"2,000", Uttar Pradesh,Lucknow,"June 12, 2019"
607,Verification officer asked for bribe,Issue and Renewal of Passport,The verification officer shamelessly asked for bribe and cited incidents of his earlier verifications by saying so and so had given him 10k for his pa...,"3,500", West Bengal,Kolkata,"June 12, 2019"
608,Hoverboard Segway/Swegway Backpack Bag UK,Assessment,"Get Strong, Durable & Water-Resistant Nylon Material Easy to Carry with Adjustable Shoulder Straps Carry Handle Mesh Pocket for Charger Perfect for Tr...","12,000", Andhra Pradesh,Adoni,"June 12, 2019"
609,Team Associated RC10 GT & RC10 GT2 Supercharger at RBinnovations.com,Others,Get or shop online best and affordable team associated rc10gt & rc10gt2 supercharger online from RB Innovations (rbinnovations.com) at best market pri...,"1,200", Andhra Pradesh,Adoni,"June 12, 2019"
610,Post didn't deliver,Post and Parcel,"I had my sister send me my checkbook from Kanpur via Speedpost, as it was urgent and already there was a delay from the bank. On checking on the track...",100, Uttar Pradesh,Noida,"June 11, 2019"
611,Tt taking bribe 50 rs from each passenger and nearly 200 customer he has taken bribe infront of me,Ticket and Seat Related,Sir one tt who work in patna ranchi janshatabdi express takes bribe from each passenger at gaya station i have also recorded his video as a proof dail...,50, Bihar,Gaya,"June 11, 2019"
612,Blueberry Pomegranate Cali Pods at Calivapepods.com,Others,Blueberry Pomegranate Cali Pods at calivapepods.com combine two delicious dark berries for a refined and enticing flavor and get these online please f...,"1,200", West Bengal,Adra,"June 11, 2019"
613,Ar 10 carbine buffer spring length,Others,"Get best and inexpensive AR10 308 Buffer and Spring Assembly for Carbine stock pre-loaded with 28 Coils and Length of 11.5"" with Matte Black Finish @...","1,200", Jharkhand,Adityapur,"June 11, 2019"
614,Aluminum/Stainless Steel and Faux Leather Cigarette Case-Assorted Colors For Sale,Others,"Aluminum/Stainless Steel and Faux Leather Cigarette Case-Assorted Colors is a really nice case that snaps shut with a magnet. It is faux leather, but ...","1,200", Jharkhand,Adityapur,"June 11, 2019"
615,Taken for employment,Others,"He is a wbp police,taken bribe ,not from me but many people ,now he is threatening me,and telling he will rape me,
I stays in asansol and my name is a...","11,00,000", West Bengal,Bankura,"June 11, 2019"
616,Parking fine. ,"Traffic Fines, Penalties, Rules",It was Nashik police who asked me to pay more than the specified fine for two wheelers for parking vehicle in no Park section... It was really a menta...,300, Maharashtra,Nashik,"June 10, 2019"
617,Bribe sought by local patwari,Caste Certificate,"To get the inherited land registered in my name after the death of my father, I approached the patwari (Dalbir Singh) of village Kalali, district Char...","1,000", Haryana,Bhiwani,"June 10, 2019"
618,PCC clearance,Autorickshaws,"Asked and had to 400 Rs for PCC clearance at Bhosari MIDC Police station, Pimpri Pune...",400, Maharashtra,Pimpri-Chinchwad,"June  9, 2019"
619,Meter seal,Change of Tariff in Domestic to Commercial,One of officer came and took 1000 rupee for meter shifting but later he is asking more rupee to put seal on meter.. please take action against him.. f...,"1,000", Delhi,New Delhi,"June  9, 2019"
620,Corruption and behavior again defence person,Autorickshaws,He is directly told me . Don't shown me paper only laision with me. If u want complete your job. When I told I m defene person than he houlling and th...,500, Tripura,Pratapgarh,"June  9, 2019"
621,Regarding bribe and corrupted policemen dial 100,"Traffic Fines, Penalties, Rules",It was 3AM of 8th of June 2019. Me and my friend were searching for 24*7 for eatables in Noida sector 16. We were without helmet. Two policemen came o...,210, Uttar Pradesh,Noida,"June  9, 2019"
622,HUDA and Gurgaon mcd is most corrupt,Land Registration,For ragistry of my floor...,"15,000", Haryana,Gurgaon,"June  8, 2019"
623,Bribe for better marks in college practicals,School or College Related,"Name of the officer - Kailash Chandra
DATE - Mid September, 2017

Time - around 4:00 pm

Location-Sardar Patel Post Graduate Institute of Dental and ...","25,000", Uttar Pradesh,Lucknow,"June  8, 2019"
624,I paid bribe for getting job in RRB,Railway Services,"I NAVEEN SINGH  from gulbarga district paid bribe of 2lakh for getting job in RRB. 
I know I did an offence I regret for that.....
I gave it in the ye...","2,00,000", Karnataka,Gulbarga,"June  7, 2019"
625,Not giving new water connection with taking bribe,Bill Payment,"I have Not given any bribe ....but we are not getting new water connection in our home, thought we have paid water bill. But in colony whoever gave br...",500, Maharashtra,Latur,"June  6, 2019"
626,Againest flat purchase by ida,,"IDA employee ask me about the bribe for against my flat come in lottery 
Mr.  Prem vyas 
06/06/2019
Indore 
IDA office 
PRO...","25,000", Madhya Pradesh,Indore,"June  6, 2019"
627,Bribe for doing right ,Building and Housing,"Durg municipal corporation,
V. P. MISHRA
                       The above man has taken a bribe of rupees 2000 from my father. 
On 3rd june some one h...","2,000", Chhattisgarh,Bhilai,"June  6, 2019"
628,Senior Labour Inspector & Conciliation Officer,Employee Grievances,"So I walk into my office and this guy is there in my office. 
Asks me a few details about my office and labourâs when I said no he said ok. 
Later h...","3,000", Uttar Pradesh,Balrampur,"June  6, 2019"
629,I paid bribe for Passport verification,Police Verification for Passport,"Name of the officer - S. Devakumar
Date of the incident - 01/06/2019
Time of the incident - 09:30 AM
Location of the incident - P6 Kodungaiyur Police ...",100, Tamil Nadu,Chennai,"June  5, 2019"
630,Revolution - The Great American Electric Cigarette Rolling Machine,Others,Shop online best and affordable Revolution The Great American Electric Cigarette Machine that Makes a pack of king size cigarettes in 2 minutes  with ...,"1,200", Telangana,Adilabad,"June  5, 2019"
631,Cali Pods Pink Lemonade Compatible with JUUL at Calivapepods.com,Others,"Get Cali Pods Pink Lemonade that contains 1ml â 50mg (5%) Nicotine, 1 Pod is equivalent to 1 cigarette pack and each pack comes with 4 pods. Each Bo...","12,000", Uttar Pradesh,Ambedkar Nagar,"June  4, 2019"
632,Paid for getting EC changed after Loan closure,Certificates,"4th June, 1:10 pm, Sub Registrar office, Mahadevapura, Bangalore
Lakshmi - the data entry person - RS. 100
Naganna - might be a clerk - RS. 200 and di...",425, Karnataka,Bangalore,"June  4, 2019"
633,"Hoverboards Warranty, Electric Scooters Warranty, Electric Skateboards Warranty at Smartboardsuk.com",Others,"Smartboardsuk.com is 100% committed to our customers and provide every customer with an inclusive warranty period on all purchases and Hoverboards, El...","1,200", Uttar Pradesh,Adari,"June  4, 2019"
634,Nitrous System Spare Parts at RBinnovations.com,Service Tax,"Get Nitrous system spare parts like Reed Valve for NS5000 Systems, O'Ring Re-build kit for NS6000 MOAB Edition,  O'Ring Re-build kit for NS5000 and se...","1,000", Telangana,Adilabad,"June  4, 2019"
635,My aunt giving bribe for his job in SBI clerk position,Loan Sanctioning,My name is Aashutosh Singh I am from Pune and my Aunt Ragini Santosh Singh has given bribe for his job in State Bank of India clerk job and I wanted t...,"5,00,000", Maharashtra,Pune,"June  4, 2019"
636,AR15 Complete Carbine Stock Lower Parts Kit or LPK â AR15handguard.com,Others,Get best and affordable AR15 Complete Carbine stock Lower Parts Kit or AR15 Complete Carbine stock  LPK  with complete Mil Spec Carbine Stock & Buffer...,"2,000", Jharkhand,Adityapur,"June  3, 2019"
637,Talathi demand 17000 bribe for registered partition deed,Land Registration,We want partition our Ancestral land talathi demand 17000 for this. And we already pay 6000....,"6,000", Maharashtra,Ahmadnagar,"June  2, 2019"
638,Procedure to Submit an Application for Driving Licence Online:,Driving and Transport Business,"Procedure to Submit an Application for Driving Licence Online:

As we told you earlier that apply for a driving license online is very easy. You can a...",500, Maharashtra,Mumbai,"June  2, 2019"
639,Procedure to Submit an Application for Driving Licence Online,Driving Licenses and Tests,As we revealed to you before that apply for a driving permit online is extremely simple. You can apply online for a driving permit by visiting the sar...,500, Delhi,New Delhi,"June  2, 2019"
640,"Paid Bribe to ITO Ward 2(3), Kota - Murari Lal Meena",Filing Tax Returns,"I was undergoing scrutiny of my Books of Accounts relating to Business in regular course in the office of Income Tax Officer, Ward - 2(3), Kota, Rajas...","1,25,000", Rajasthan,Kota,"June  1, 2019"
641,Bribe paid for lost phone.,Autorickshaws,"Banaswadi Traffic Police Station
5th Main, 3rd Cross Road, 
Kalyan Nagar, Near Electricity Complaint Office.

My sister in law lost her phone a month ...","10,000", Karnataka,Bangalore,"June  1, 2019"
642,Money asked for processing ,Certificates,"29.05.19 11.30 a.m. V.A.O office Masinakkampatty, Ayothiapattanam Salem. V.A.O name Anand. For every signature the assistant of VAO is asking money. N...",100, Tamil Nadu,Salem,"June  1, 2019"
643,Corrupt pramod ,Filing Tax Returns,"25 may
Pramod jain 
Ito phalodi...","2,00,000", Rajasthan,Jodhpur,"May 31, 2019"
644,Bribe asked in labour office,Registrations and Licenses,"Dear Sir
I went to submit the RC copy renewal for labour office in davangere Mr. Mohammed  labour officer  and Mr Sumith asked for Rs.6000/- bribe to ...","6,000", Karnataka,Davanagere,"May 31, 2019"
645,Tnpds officer asking money to do duty,Policies and Procedures,"I've applied to remove my wife name from her old ration repeatedly it's getting rejected so I visited office official ask 1000  to complete name Sara,...","1,000", Tamil Nadu,Chennai,"May 31, 2019"
646,Extra document,Policies and Procedures,"I have all documents which is required for police verification.
But still police women is not interested to see that..
She want more documents which i...","1,000", Maharashtra,Pune,"May 31, 2019"
647,ROC KOLKATA,Contract Work,We have filed petition for our Roc transfer of our company . We have followed all the procedures n policies as according to the act and law . We have ...,"35,000", West Bengal,Kolkata,"May 30, 2019"
648,No parking fake fine,"Traffic Fines, Penalties, Rules","30 may 2019 16:00hrs
Lane infront of hdfc bank dombivli east station branch. I parked my bike near the bank as i had a task of 2min in the bank.
Durin...",300, Maharashtra,Kalyan,"May 30, 2019"
649,Bank mistake neft transfer another a/c,Loan Sanctioning,Maine Union bank of India se sbi me neft se transfer kiya maine Indian petroleum corporation likha aur ajit Patel ke nam par chala gya...,"91,000", Uttar Pradesh,Azamgarh,"May 30, 2019"
650,Asked for bribe besides having records maintained,Employee State Insurance,My organization had to pay bribe to the esic Dept. The registration was done in 2016 and nil returns were filed as no employees were in the slab. Ever...,"40,000", Tamil Nadu,Chennai,"May 29, 2019"
651,Foreigner,Autorickshaws,Traffic officer stopped me and my Indian driver...,250, Uttar Pradesh,Lucknow,"May 29, 2019"
652,"Delicious Pods, Salt Nicotine and Juul Compatible Pods",Others,"By combining new technology and passion, Delicious Pods, Salt Nicotine, juul compatible pods are at the cutting edge of the e-cig industry. To get the...","1,200", Uttar Pradesh,Adari,"May 28, 2019"
653,Bribe was included as a standard fee,Marriage Certificate and Registration,Bribe was included as a standard fee while collecting money. ...,200, Uttar Pradesh,Sirsi,"May 28, 2019"
654,Classic Hoverboard Swegway Red,Others,"The Bluefin Classic hoverboard range is suitable for all ages, both indoors and outdoors and you can join the crew and ride out on the UKâs best sel...","1,200", Jharkhand,Adityapur,"May 28, 2019"
